family,father,mother,children,childNum,sex,childHeight
107,69,66,9,8,female,65
107,69,66,9,9,female,64
108,69,65,7,1,male,70
108,69,65,7,2,male,68.5
108,69,65,7,3,male,67
108,69,65,7,4,female,65
108,69,65,7,5,female,64
108,69,65,7,6,female,63.5
108,69,65,7,7,female,61
109,69.5,64.5,7,1,male,69.7
109,69.5,64.5,7,2,male,68
109,69.5,64.5,7,3,male,60
109,69.5,64.5,7,4,female,65.2
109,69.5,64.5,7,5,female,64.5
109,69.5,64.5,7,6,female,63.7
109,69.5,64.5,7,7,female,60
110,69.2,64,4,1,male,71.7
110,69.2,64,4,2,male,66.5
110,69.2,64,4,3,female,65
110,69.2,64,4,4,female,63.5
111,69,63.5,1,1,female,65.5
112,69,63,3,1,male,69
112,69,63,3,2,female,67.5
112,69,63,3,3,female,63.5
113,69,63,1,1,male,72
114,69,63,6,1,male,73
114,69,63,6,2,male,70
114,69,63,6,3,male,70
114,69,63,6,4,male,64
114,69,63,6,5,female,66
114,69,63,6,6,female,62
115,69,63.5,7,1,male,70.5
115,69,63.5,7,2,male,67
115,69,63.5,7,3,male,66
115,69,63.5,7,4,female,65
115,69,63.5,7,5,female,63
115,69,63.5,7,6,female,62
115,69,63.5,7,7,female,61
116,69,63.5,3,1,male,70.5
116,69,63.5,3,2,female,63.7
116,69,63.5,3,3,female,63
117,69.7,62,1,1,female,62.5
118,69.5,62,3,1,male,73
118,69.5,62,3,2,male,72
118,69.5,62,3,3,male,69
119,69,62,5,1,male,73
119,69,62,5,2,male,71
119,69,62,5,3,male,71
119,69,62,5,4,male,69
119,69,62,5,5,female,63
120,69.5,62,11,1,male,72
120,69.5,62,11,2,male,70
120,69.5,62,11,3,male,67.8
120,69.5,62,11,4,female,65.2
120,69.5,62,11,5,female,64.7
120,69.5,62,11,6,female,64.5
120,69.5,62,11,7,female,63.5
120,69.5,62,11,8,female,63.5
120,69.5,62,11,9,female,62.5
120,69.5,62,11,10,female,62
120,69.5,62,11,11,female,61.5
121,69,62.5,8,1,male,71
121,69,62.5,8,2,male,70
121,69,62.5,8,3,male,70
121,69,62.5,8,4,male,69
121,69,62.5,8,5,female,63.5
121,69,62.5,8,6,female,62.5
121,69,62.5,8,7,female,62.5
121,69,62.5,8,8,female,62
122,69,62,4,1,male,72
122,69,62,4,2,male,68
122,69,62,4,3,female,66
122,69,62,4,4,female,66
123,69.5,61,5,1,male,70
123,69.5,61,5,2,male,69.5
123,69.5,61,5,3,male,69
123,69.5,61,5,4,female,63
123,69.5,61,5,5,female,62
124,69,61,9,1,male,68
124,69,61,9,2,male,68
124,69,61,9,3,male,67.5
124,69,61,9,4,male,64
124,69,61,9,5,male,63
124,69,61,9,6,male,63
124,69,61,9,7,female,63.5
124,69,61,9,8,female,62
124,69,61,9,9,female,62
125,69,60,3,1,male,70.5
125,69,60,3,2,female,68
125,69,60,3,3,female,62.5
126,69,60,4,1,male,69
126,69,60,4,2,male,66
126,69,60,4,3,female,61.7
126,69,60,4,4,female,60.5
127,69,60.5,1,1,male,69.5
128,68.7,70.5,2,1,male,71
128,68.7,70.5,2,2,female,61.7
129,68.5,67,3,1,male,73
129,68.5,67,3,2,male,71
129,68.5,67,3,3,female,67
130,68.5,66.5,11,1,male,70
130,68.5,66.5,11,2,male,69
130,68.5,66.5,11,3,male,69
130,68.5,66.5,11,4,male,68.7
130,68.5,66.5,11,5,male,68.5
130,68.5,66.5,11,6,male,68.5
130,68.5,66.5,11,7,male,68
130,68.5,66.5,11,8,male,68
130,68.5,66.5,11,9,male,68
130,68.5,66.5,11,10,male,66.2
130,68.5,66.5,11,11,female,63.2
131,68,65,2,1,male,67.5
131,68,65,2,2,male,66
132,68,65.5,2,1,male,66
132,68,65.5,2,2,female,64
133,68,65.5,7,1,male,71.7
133,68,65.5,7,2,male,71.5
133,68,65.5,7,3,male,70.7
133,68,65.5,7,4,male,65.5
133,68,65.5,7,5,female,66.5
133,68,65.5,7,6,female,65.2
133,68,65.5,7,7,female,61.5
134,68,65,4,1,male,72
134,68,65,4,2,male,72
134,68,65,4,3,female,68
134,68,65,4,4,female,66
135,68.5,65,8,1,male,69.2
135,68.5,65,8,2,male,68
135,68.5,65,8,3,male,66
135,68.5,65,8,4,male,66
135,68.5,65,8,5,female,62
135,68.5,65,8,6,female,61.5
135,68.5,65,8,7,female,61
135,68.5,65,8,8,female,60
136A,68.5,65,8,1,male,72
136A,68.5,65,8,2,male,70.5
136A,68.5,65,8,3,male,68.7
136A,68.5,65,8,4,male,68.5
136A,68.5,65,8,5,male,67.7
136A,68.5,65,8,6,female,64
136A,68.5,65,8,7,female,63.5
136A,68.5,65,8,8,female,63
136,68,64,10,1,male,71
136,68,64,10,2,male,68
136,68,64,10,3,male,68
136,68,64,10,4,male,67
136,68,64,10,5,female,65
136,68,64,10,6,female,64
136,68,64,10,7,female,63
136,68,64,10,8,female,63
136,68,64,10,9,female,62
136,68,64,10,10,female,61
137,68,64,4,1,male,66
137,68,64,4,2,male,63
137,68,64,4,3,female,65.5
137,68,64,4,4,female,62
138,68,64,5,1,male,71.2
138,68,64,5,2,male,71.2
138,68,64,5,3,male,69
138,68,64,5,4,male,68.5
138,68,64,5,5,female,62.5
139,68,64.5,1,1,female,62
140,68,64,10,1,male,69
140,68,64,10,2,male,67
140,68,64,10,3,male,66
140,68,64,10,4,female,66
140,68,64,10,5,female,66
140,68,64,10,6,female,65
140,68,64,10,7,female,65
140,68,64,10,8,female,65
140,68,64,10,9,female,64
140,68,64,10,10,female,63
141,68,63,8,1,male,70.5
141,68,63,8,2,male,70
141,68,63,8,3,male,68
141,68,63,8,4,male,66
141,68,63,8,5,male,66
141,68,63,8,6,female,66
141,68,63,8,7,female,62
141,68,63,8,8,female,61.5
142,68.5,63.5,4,1,male,73.5
142,68.5,63.5,4,2,male,70
142,68.5,63.5,4,3,male,69.5
142,68.5,63.5,4,4,female,65.5
143,68,63,1,1,male,67
144,68,63,4,1,male,70
144,68,63,4,2,male,68
144,68,63,4,3,female,64.5
144,68,63,4,4,female,64
145,68,63,8,1,male,71
145,68,63,8,2,male,68
145,68,63,8,3,male,66
145,68,63,8,4,male,65.5
145,68,63,8,5,male,65
145,68,63,8,6,female,63
145,68,63,8,7,female,62
145,68,63,8,8,female,62
146,68,63,6,1,male,67
146,68,63,6,2,male,67
146,68,63,6,3,male,66
146,68,63,6,4,female,64
146,68,63,6,5,female,63.5
146,68,63,6,6,female,61
147,68.5,63.5,1,1,male,68.2
148,68,63,1,1,male,70
149,68.2,63.5,5,1,male,70
149,68.2,63.5,5,2,male,69
149,68.2,63.5,5,3,male,67
149,68.2,63.5,5,4,male,65.5
149,68.2,63.5,5,5,female,64.5
150,68,62.5,1,1,male,68.5
151,68.7,62,2,1,male,67.7
151,68.7,62,2,2,female,61.7
152,68,62.5,1,1,male,66.5
153,68,61,5,1,male,68.5
153,68,61,5,2,male,68
153,68,61,5,3,male,64
153,68,61,5,4,female,63.5
153,68,61,5,5,female,63
154,68,60.2,1,1,male,66.7
155,68,60,7,1,male,64
155,68,60,7,2,female,61
155,68,60,7,3,female,61
155,68,60,7,4,female,60
155,68,60,7,5,female,60
155,68,60,7,6,female,60
155,68,60,7,7,female,56
156,68,60,4,1,male,67.5
156,68,60,4,2,male,67
156,68,60,4,3,male,66.5
156,68,60,4,4,female,60
157,68.5,59,1,1,male,69
158,68,59,10,1,male,68
158,68,59,10,2,male,65
158,68,59,10,3,male,64.7
158,68,59,10,4,male,64
158,68,59,10,5,male,64
158,68,59,10,6,male,63
158,68,59,10,7,female,65
158,68,59,10,8,female,65
158,68,59,10,9,female,62
158,68,59,10,10,female,61
159,67,66.2,5,1,male,72.7
159,67,66.2,5,2,male,72.7
159,67,66.2,5,3,male,71.5
159,67,66.2,5,4,female,65.5
159,67,66.2,5,5,female,63.5
160,67,66.5,1,1,male,71
161,67,66,8,1,male,73
161,67,66,8,2,male,71
161,67,66,8,3,male,70.7
161,67,66,8,4,male,70
161,67,66,8,5,male,69
161,67,66,8,6,female,68
161,67,66,8,7,female,65.5
161,67,66,8,8,female,62
162,67,65,6,1,male,69.7
162,67,65,6,2,male,67.5
162,67,65,6,3,female,65.5
162,67,65,6,4,female,65
162,67,65,6,5,female,64.5
162,67,65,6,6,female,63.5
163,67,65.5,5,1,male,70
163,67,65.5,5,2,male,69
163,67,65.5,5,3,female,65.5
163,67,65.5,5,4,female,65.5
163,67,65.5,5,5,female,63
164,67,65.5,4,1,male,70
164,67,65.5,4,2,male,67.7
164,67,65.5,4,3,female,63
164,67,65.5,4,4,female,60
165,67,65,3,1,male,65
165,67,65,3,2,female,62
165,67,65,3,3,female,62
166,67.5,65,11,1,male,71
166,67.5,65,11,2,male,69
166,67.5,65,11,3,female,64
166,67.5,65,11,4,female,64
166,67.5,65,11,5,female,63
166,67.5,65,11,6,female,63
166,67.5,65,11,7,female,63
166,67.5,65,11,8,female,63
166,67.5,65,11,9,female,63
166,67.5,65,11,10,female,62.5
166,67.5,65,11,11,female,62
167,67,64,4,1,male,71.5
167,67,64,4,2,male,70
167,67,64,4,3,male,67
167,67,64,4,4,male,67
168,67,63.5,8,1,male,71
168,67,63.5,8,2,male,70.2
168,67,63.5,8,3,male,69.2
168,67,63.5,8,4,male,68.5
168,67,63.5,8,5,male,68
168,67,63.5,8,6,male,67
168,67,63.5,8,7,male,65.5
168,67,63.5,8,8,female,63.5
169,67,63,3,1,male,69
169,67,63,3,2,male,68
169,67,63,3,3,female,63
170,67.5,62,5,1,male,70
170,67.5,62,5,2,male,69.5
170,67.5,62,5,3,male,69
170,67.5,62,5,4,male,68.5
170,67.5,62,5,5,female,66
171,67,61,1,1,male,67
172,66,67,8,1,male,70.5
172,66,67,8,2,male,70.5
172,66,67,8,3,male,67
172,66,67,8,4,male,66
172,66,67,8,5,male,66
172,66,67,8,6,female,62
172,66,67,8,7,female,62
172,66,67,8,8,female,61.5
173,66,67,9,1,male,72
173,66,67,9,2,male,65
173,66,67,9,3,male,65
173,66,67,9,4,female,67
173,66,67,9,5,female,64
173,66,67,9,6,female,64
173,66,67,9,7,female,62
173,66,67,9,8,female,60
173,66,67,9,9,female,60
174,66,66,5,1,male,66
174,66,66,5,2,male,65
174,66,66,5,3,female,67
174,66,66,5,4,female,66.5
174,66,66,5,5,female,65.5
175,66,66,6,1,male,72
175,66,66,6,2,male,68
175,66,66,6,3,female,66
175,66,66,6,4,female,65
175,66,66,6,5,female,62
175,66,66,6,6,female,61
176,66.5,65,8,1,male,68.7
176,66.5,65,8,2,male,68.5
176,66.5,65,8,3,male,66.5
176,66.5,65,8,4,male,64.5
176,66.5,65,8,5,female,62.5
176,66.5,65,8,6,female,60.5
176,66.5,65,8,7,female,60.5
176,66.5,65,8,8,female,57.5
177,66,65.5,5,1,male,72
177,66,65.5,5,2,male,71
177,66,65.5,5,3,male,67
177,66,65.5,5,4,female,66
177,66,65.5,5,5,female,65
178,66,63,1,1,male,70
179,66,63.5,2,1,female,64.5
179,66,63.5,2,2,female,62
180,66.5,63,6,1,male,67.2
180,66.5,63,6,2,male,67
180,66.5,63,6,3,male,65
180,66.5,63,6,4,female,65
180,66.5,63,6,5,female,65
180,66.5,63,6,6,female,63
181,66.5,62.5,7,1,male,70
181,66.5,62.5,7,2,male,68
181,66.5,62.5,7,3,female,63.5
181,66.5,62.5,7,4,female,62.5
181,66.5,62.5,7,5,female,62.5
181,66.5,62.5,7,6,female,62.5
181,66.5,62.5,7,7,female,62.5
182,66,61.5,1,1,male,70
183,66,60,4,1,male,68
183,66,60,4,2,male,67
183,66,60,4,3,male,65
183,66,60,4,4,female,60
184,66,60,1,1,male,65
185,66,59,15,1,male,68
185,66,59,15,2,male,67
185,66,59,15,3,male,66.5
185,66,59,15,4,male,66
185,66,59,15,5,male,65.7
185,66,59,15,6,male,65.5
185,66,59,15,7,male,65
185,66,59,15,8,female,65
185,66,59,15,9,female,64
185,66,59,15,10,female,63
185,66,59,15,11,female,62
185,66,59,15,12,female,61
185,66,59,15,13,female,60
185,66,59,15,14,female,58
185,66,59,15,15,female,57
186,65,67,4,1,male,66.5
186,65,67,4,2,male,66
186,65,67,4,3,male,66
186,65,67,4,4,female,65
187,65,67,1,1,female,63
188,65,66,4,1,male,63
188,65,66,4,2,female,63
188,65,66,4,3,female,63
188,65,66,4,4,female,60
189,65,66,5,1,male,67
189,65,66,5,2,male,66
189,65,66,5,3,male,65
189,65,66,5,4,female,65
189,65,66,5,5,female,61
190,65,65,9,1,male,69
190,65,65,9,2,male,68
190,65,65,9,3,male,68
190,65,65,9,4,female,65
190,65,65,9,5,female,65
190,65,65,9,6,female,62
190,65,65,9,7,female,62
190,65,65,9,8,female,61
190,65,65,9,9,female,59
191,65,65.5,2,1,male,70.7
191,65,65.5,2,2,female,65.5
192,65,65,6,1,male,69.2
192,65,65,6,2,male,69
192,65,65,6,3,male,68
192,65,65,6,4,male,67.7
192,65,65,6,5,female,64.5
192,65,65,6,6,female,60.5
193,65,64,6,1,male,67
193,65,64,6,2,male,67
193,65,64,6,3,female,64
193,65,64,6,4,female,64
193,65,64,6,5,female,62.5
193,65,64,6,6,female,60.5
194,65,63,2,1,male,70
194,65,63,2,2,female,63
195,65,63,3,1,male,66
195,65,63,3,2,male,66
195,65,63,3,3,female,63
196,65.5,63,4,1,male,71
196,65.5,63,4,2,male,71
196,65.5,63,4,3,male,69
196,65.5,63,4,4,female,63.5
197,65.5,60,5,1,male,68
197,65.5,60,5,2,male,68
197,65.5,60,5,3,male,67
197,65.5,60,5,4,male,67
197,65.5,60,5,5,female,62
198,64,64,7,1,male,71.5
198,64,64,7,2,male,68
198,64,64,7,3,female,65.5
198,64,64,7,4,female,64
198,64,64,7,5,female,62
198,64,64,7,6,female,62
198,64,64,7,7,female,61
199,64,64,7,1,male,70.5
199,64,64,7,2,male,68
199,64,64,7,3,female,67
199,64,64,7,4,female,65
199,64,64,7,5,female,64
199,64,64,7,6,female,64
199,64,64,7,7,female,60
200,64,63,1,1,male,64.5
201,64,60,2,1,male,66
201,64,60,2,2,female,60
202,63,63.5,2,1,female,68.5
202,63,63.5,2,2,female,63.5
203,62,66,3,1,male,64
203,62,66,3,2,female,62
203,62,66,3,3,female,61
204,62.5,63,2,1,male,66.5
204,62.5,63,2,2,female,57
